Id Igreja,Nome Igreja,Status Igreja,Score,Algum gestor resp. eventos,Nível,Nível (Cor)
2.665,Lagoinha Leominster Church,publicado,56,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.817,IGREJA BATISTA FÉ,publicado,56,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.851,Primeira Igreja Evangélica Assembleia de Deus Cachoeirinha,publicado,56,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
558,Igreja do Evangelho Ágape,publicado,53,Não,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
1.235,CIDADE IMAFE - MIN. PESCADORES DE ALMAS,publicado,53,Não,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.310,Lagoinha Itabuna,publicado,53,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.469,Lagoinha Itaim Paulista,publicado,53,Não,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.942,IBEC PERDIGÃO,publicado,53,Não,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.167,Lagoinha Sydney,publicado,50,Não,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.241,Lagoinha Ji-Paraná,publicado,50,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.244,Lagoinha Sinop,publicado,50,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
3.257,Além do Véu Mauá,entregue,50,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
130,Alcance Church Orlando,publicado,48,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
293,CG Sede,publicado,48,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.619,Lagoinha Ananindeua,publicado,48,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.845,Lagoinha de Itu,publicado,48,Não,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.911,LBC Brazil,publicado,48,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
192,Missão de Águias Church,publicado,45,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
1.993,Videira Juína,publicado,45,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.303,Lagoinha Maringá,publicado,45,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.341,Lagoinha Toledo,publicado,45,Não,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.406,Lagoinha Vacaria,publicado,45,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
3.098,1 IEQ INDAIATUBA,entregue,45,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
399,IGREJA JESUS VIVE,publicado,42,Não,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.196,Lagoinha São Sebastião - Centro,publicado,42,Não,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.315,Lagoinha Alagoinhas,publicado,42,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
3.063,Igreja Presbiteriana Mosaico,publicado,42,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
3.264,Igreja Missionária Comunidade Shamah,entregue,42,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
3.458,Ministério Apostólico Vencedores,publicado,42,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
33,Disciples of Christ Church,publicado,40,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
343,Época da Graça,publicado,40,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
1.961,Comunidad Cristiana Sendero de la Cruz Madrid,publicado,40,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.181,Lagoinha Santo André,publicado,40,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.686,Lagoinha Itabirito,publicado,40,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.767,Shekinah church Perth Amboy,publicado,40,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
2.771,Igreja Evangélica Missão Cristã Casa do Pai,publicado,40,Sim,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png
